iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
130,0.228024751279,0.233630660212,0.241614983244,0.533507397737,0.526956521739,0.504867872045,0.0513274336283,0.0285714285714,0.021978021978,154.207626816
140,0.22784068304,0.233468146925,0.241384624084,0.534812880766,0.526956521739,0.504867872045,0.0514640638864,0.0285714285714,0.021978021978,165.510494314
150,0.226930539726,0.232667915924,0.240483239181,0.536118363795,0.528695652174,0.50347705146,0.0516014234875,0.0286738351254,0.0165289256198,176.821782435
160,0.226326207452,0.23249602823,0.240011787669,0.537423846823,0.528695652174,0.50347705146,0.0517395182872,0.0286738351254,0.0165289256198,188.93757779
170,0.225329853968,0.23171028714,0.23942112834,0.538729329852,0.528695652174,0.507649513213,0.0518783542039,0.0286738351254,0.0166666666667,201.07312911
180,0.224613821833,0.231056744127,0.238909323726,0.541340295909,0.528695652174,0.507649513213,0.0504504504505,0.0216606498195,0.0166666666667,213.184538806
190,0.224594860877,0.23119116707,0.239208699261,0.540034812881,0.528695652174,0.507649513213,0.048604860486,0.0216606498195,0.0166666666667,225.201669234
200,0.220885398627,0.22858296488,0.23529813916,0.546997389034,0.535652173913,0.515994436718,0.0493150684932,0.021978021978,0.0169491525424,237.208936517
210,0.219855453256,0.227652958061,0.234294881271,0.549173194082,0.537391304348,0.52016689847,0.0495412844037,0.0220588235294,0.0114613180516,249.358640638
220,0.21847082621,0.226652762685,0.232846782004,0.555265448216,0.540869565217,0.525730180807,0.0501858736059,0.0222222222222,0.0115942028986,261.388255794
230,0.21743903903,0.22593804262,0.231983962508,0.556570931245,0.542608695652,0.528511821975,0.0503261882572,0.0223048327138,0.0116618075802,273.364651385
240,0.216863878586,0.22536303063,0.231599397875,0.557441253264,0.542608695652,0.529902642559,0.0504201680672,0.0223048327138,0.0116959064327,284.652177364
250,0.215412168622,0.224385425132,0.229616700968,0.56135770235,0.544347826087,0.529902642559,0.0508474576271,0.0223880597015,0.0116959064327,295.929908493
260,0.214798556716,0.223330660988,0.228580701674,0.561792863359,0.544347826087,0.534075104312,0.0508953817154,0.0223880597015,0.0117994100295,307.242644712
270,0.213264861695,0.221665521564,0.226170842845,0.564838990426,0.546086956522,0.535465924896,0.047619047619,0.0224719101124,0.0118343195266,318.716187326
280,0.2127932213,0.221293408569,0.225865181488,0.567014795474,0.544347826087,0.53685674548,0.0478468899522,0.0223880597015,0.0118694362018,330.065742456
290,0.21201419475,0.220398667927,0.224784564073,0.568320278503,0.547826086957,0.538247566064,0.0461538461538,0.0225563909774,0.0119047619048,341.379859775
300,0.210789238244,0.218691110183,0.222539890931,0.569625761532,0.549565217391,0.542420027816,0.0425943852856,0.022641509434,0.012012012012,352.773188136
310,0.210458068659,0.218283255664,0.222305222298,0.569625761532,0.553043478261,0.546592489569,0.0407371483996,0.0228136882129,0.0121212121212,364.141116751
320,0.209763608477,0.216902200558,0.220666667255,0.57093124456,0.55652173913,0.550764951321,0.0408560311284,0.0229885057471,0.0122324159021,375.425362484
330,0.209037021425,0.215335830504,0.219647169109,0.57136640557,0.55652173913,0.55354659249,0.0408958130477,0.0229885057471,0.0123076923077,386.884911011
340,0.207139578812,0.213861278247,0.218217019637,0.575718015666,0.565217391304,0.55354659249,0.0412979351032,0.0234375,0.0123076923077,398.160432698
350,0.205519772404,0.212936248808,0.217943313667,0.577893820714,0.565217391304,0.556328233658,0.043392504931,0.0234375,0.0123839009288,409.376860658
360,0.204754002186,0.212377009143,0.217329241876,0.577893820714,0.56347826087,0.556328233658,0.0415019762846,0.0233463035019,0.0123839009288,420.772575571
370,0.202803280842,0.210683664001,0.215643459011,0.5818102698,0.566956521739,0.559109874826,0.0418743768694,0.0235294117647,0.01246105919,431.903733666
380,0.202549285588,0.210320591133,0.215577539144,0.583115752829,0.566956521739,0.559109874826,0.042,0.0235294117647,0.01246105919,443.180254413
390,0.201296655667,0.208758143026,0.214354356113,0.588337684943,0.572173913043,0.56050069541,0.0425101214575,0.0238095238095,0.0125,454.381965422
400,0.201581430167,0.208779780901,0.214795666832,0.587902523934,0.570434782609,0.561891515994,0.0424671385238,0.0237154150198,0.012539184953,465.563135819
410,0.200216876554,0.207102430309,0.213444636445,0.590078328982,0.577391304348,0.563282336579,0.0426829268293,0.0240963855422,0.0125786163522,476.750139358
